moisture,pH,EC,nitrogen,phosphorus,potassium,soilTemperature,airTemperature,airHumidity,soilHealth
70.85,8.44,2.21,32.15,11.24,26.77,35.92,32.42,87.64,Moderate
53.25,5.88,0.36,23.53,24.4,34.07,27.91,37.09,89.92,Moderate
59.35,6.41,1.08,57.02,30.88,39.23,21.9,30.14,77.85,Healthy
94.27,5.51,2.74,18.42,15.43,15.92,14.85,19.06,39.33,Needs Attention
38.18,6.06,1.85,37.91,15.26,39.44,26.68,32.83,42.67,Moderate
48.47,6.53,1.62,73.51,48.85,67.82,24.91,24.09,64.07,Healthy
91.17,4.93,0.37,18.54,16.23,17.4,12.52,17.73,93.64,Needs Attention
28.75,5.11,2.04,12.17,16.11,24.2,32.05,33.89,76.64,Moderate
52.78,6.57,1.8,56.96,54.19,44.1,26.36,26.82,69.05,Healthy
64.12,7.39,2.09,42.64,17.63,27.61,30.31,34.07,20.52,Moderate
86.99,5.25,0.43,20.21,11.55,24.31,15.98,19.35,95.4,Needs Attention
28.01,8.81,0.97,29.84,17.96,39.2,27.81,31.14,54.46,Moderate
61.94,6.66,1.42,65.74,26.69,52.53,21.76,26.12,66.72,Healthy
56.17,6.91,1.22,65.77,44.69,50.83,24.65,29.38,65.25,Healthy
12.42,5.1,2.79,24.35,9.13,13.43,15.41,38.77,97.2,Needs Attention
43.92,6.45,1.42,56.74,43.43,63.02,25.36,24.57,52.37,Healthy
66.88,7.87,1.01,19.01,23.64,26.69,33.09,33.43,54.53,Moderate
43.26,7.62,2.44,30.95,23.87,35.09,37.38,36.31,72.66,Moderate
22.48,7.43,2.28,31.74,23.14,30.75,29.07,37.66,81.31,Moderate
21.55,5.44,0.78,34.18,19.97,19.86,34.42,34.45,48.16,Moderate
73.3,8.65,1.14,24.36,25.68,25.22,32.99,35.72,45.25,Moderate
24.41,5.25,0.83,30.24,29.0,22.44,27.74,32.69,87.25,Moderate
76.1,8.4,0.64,38.28,25.24,30.24,34.35,35.23,44.01,Moderate
27.0,5.93,1.07,26.57,20.54,36.0,34.15,30.39,82.31,Moderate
10.96,4.85,0.31,21.47,9.07,15.89,15.99,37.91,31.39,Needs Attention
65.87,5.72,0.82,38.95,17.91,30.63,29.49,34.71,36.61,Moderate
55.27,7.37,1.5,54.39,34.41,60.35,24.01,25.49,80.56,Healthy
40.18,7.7,1.49,52.85,29.36,31.89,26.26,24.49,69.59,Healthy
47.23,7.17,1.57,74.27,48.71,53.9,24.81,26.06,80.79,Healthy
14.73,8.43,0.67,27.47,12.75,8.17,19.33,33.8,98.7,Needs Attention
37.76,6.4,1.9,68.09,42.26,56.62,26.36,25.66,68.34,Healthy
41.54,6.79,1.42,53.61,26.55,51.93,25.96,29.25,72.1,Healthy
49.66,6.51,0.92,43.87,34.06,43.07,25.22,29.43,70.84,Healthy
34.28,6.46,1.48,73.78,44.43,43.54,28.32,22.93,74.39,Healthy
47.29,6.74,0.93,48.68,52.57,51.91,25.9,28.25,71.03,Healthy
44.76,6.46,1.46,74.28,56.18,43.86,25.82,28.68,75.49,Healthy
61.14,6.27,1.76,56.21,43.25,38.2,23.73,25.01,90.93,Healthy
51.77,6.11,1.35,40.52,56.33,54.12,24.81,27.7,77.44,Healthy
68.49,5.68,1.88,37.62,30.46,32.11,30.01,32.68,87.06,Moderate
56.62,6.24,0.98,34.33,22.66,31.08,34.83,31.82,43.02,Moderate
95.5,4.95,2.74,14.79,12.18,19.71,12.13,19.32,98.0,Needs Attention
56.87,6.4,1.53,57.57,38.07,37.16,22.61,24.14,66.65,Healthy
97.24,8.51,0.61,22.23,3.87,25.83,17.27,34.57,99.22,Needs Attention
25.75,5.87,2.07,28.99,14.51,27.83,34.75,34.61,48.61,Moderate
35.25,5.58,1.06,38.93,38.33,22.94,31.77,34.47,75.12,Moderate
86.79,8.84,0.3,11.79,9.18,23.19,15.04,35.66,26.27,Needs Attention
47.74,6.93,1.51,52.58,24.51,53.33,22.12,25.26,76.31,Healthy
77.17,4.77,0.37,15.75,10.8,18.54,35.88,19.0,33.03,Needs Attention
87.71,4.46,0.46,23.75,18.18,17.43,35.55,14.37,39.18,Needs Attention
49.75,6.16,1.26,53.06,35.56,64.71,21.57,22.34,68.12,Healthy
58.43,6.11,1.26,63.2,39.18,50.09,21.55,26.97,81.03,Healthy
50.76,6.79,1.75,52.0,46.14,52.42,28.23,30.87,73.77,Healthy
97.4,8.66,2.97,15.22,14.68,17.98,16.44,17.81,33.43,Needs Attention
5.71,4.96,2.68,22.56,11.55,22.06,34.39,20.93,95.25,Needs Attention
32.11,7.97,2.22,28.05,29.36,28.09,32.58,34.58,45.74,Moderate
48.9,6.56,1.41,65.42,30.32,59.0,25.3,26.22,70.04,Healthy
6.63,8.42,0.49,20.75,11.8,11.16,36.16,20.14,25.1,Needs Attention
68.13,7.01,1.59,65.73,21.22,55.19,26.78,27.25,71.61,Healthy
72.51,8.35,0.93,25.64,12.5,38.7,31.35,38.31,34.08,Moderate
48.23,6.85,1.49,43.11,37.09,54.27,25.77,26.8,67.03,Healthy
65.44,7.68,1.19,41.94,20.01,33.82,32.97,39.86,93.84,Moderate
86.04,8.3,2.7,22.46,12.58,12.74,15.62,37.35,30.12,Needs Attention
41.32,6.46,1.05,52.9,32.44,73.44,28.26,31.03,60.35,Healthy
46.63,6.51,1.49,44.5,43.37,48.52,27.97,27.96,70.62,Healthy
37.05,6.77,1.72,65.07,51.94,45.25,26.63,23.69,78.38,Healthy
5.15,4.42,2.53,29.41,11.8,29.57,37.89,36.93,91.31,Needs Attention
17.76,8.43,2.77,25.23,9.9,14.55,36.33,18.93,36.1,Needs Attention
28.84,8.18,2.09,36.54,21.1,37.7,29.67,30.51,45.42,Moderate
50.98,7.13,1.18,69.71,39.49,47.15,24.93,31.25,72.46,Healthy
37.04,7.03,1.22,69.56,34.28,56.86,23.87,28.95,69.72,Healthy
24.23,6.08,2.21,28.71,32.93,43.01,30.31,30.21,49.22,Moderate
53.62,7.24,1.21,78.14,33.8,61.0,24.52,26.85,60.27,Healthy
60.17,6.61,1.72,49.69,49.46,65.69,23.09,28.47,74.41,Healthy
37.29,6.6,1.06,65.62,39.83,52.04,22.39,26.05,79.08,Healthy
34.86,7.85,1.1,51.02,16.05,40.09,31.8,36.15,84.43,Moderate
30.42,7.95,0.91,32.38,21.01,36.01,33.84,39.08,86.29,Moderate
33.5,5.38,0.81,42.22,15.98,38.21,32.49,34.36,93.9,Moderate
31.37,6.26,1.04,22.09,25.58,35.25,31.61,30.77,81.31,Moderate
11.62,9.01,2.81,14.93,9.0,18.83,31.12,22.39,96.31,Needs Attention
45.61,6.77,1.57,72.2,41.72,52.77,22.69,26.16,67.46,Healthy
48.0,6.61,1.77,46.33,36.32,60.66,21.42,32.33,70.05,Healthy
57.77,6.81,1.16,50.3,40.49,39.99,25.26,29.42,76.91,Healthy
16.63,5.49,0.8,22.43,20.54,33.91,31.79,30.12,52.03,Moderate
70.48,6.48,1.51,65.81,32.3,36.06,23.0,29.28,68.92,Healthy
54.51,6.65,1.55,68.81,36.57,66.97,25.38,32.85,64.51,Healthy
77.03,6.36,2.15,32.23,24.25,32.36,35.04,31.8,89.9,Moderate
87.73,8.47,2.69,25.87,13.36,29.44,18.23,39.26,91.11,Needs Attention
8.69,8.52,0.33,16.58,9.96,16.2,16.01,39.43,97.79,Needs Attention
21.26,5.61,0.96,33.77,25.62,41.87,33.67,34.41,100.0,Moderate
47.74,7.16,1.49,93.56,36.22,55.89,22.51,30.4,76.86,Healthy
96.61,5.02,2.75,16.51,10.86,9.08,13.02,21.17,26.35,Needs Attention
90.52,5.23,2.79,16.64,16.8,12.9,38.49,36.55,96.81,Needs Attention
58.66,5.97,1.22,70.28,42.99,43.34,26.34,25.22,69.87,Healthy
42.75,5.8,1.12,39.12,26.24,37.09,30.61,38.22,86.29,Moderate
81.5,5.74,0.88,23.69,30.31,52.82,33.21,32.41,76.21,Moderate
35.5,6.0,1.81,38.99,31.05,39.15,26.76,31.87,48.66,Moderate
50.59,6.79,1.05,52.74,43.24,52.86,18.75,25.3,81.19,Healthy
25.64,5.75,1.95,42.39,15.89,20.83,33.85,29.79,80.82,Moderate
58.44,7.18,1.17,56.52,39.53,44.29,25.46,24.9,67.14,Healthy
15.82,8.82,2.68,12.54,13.52,5.22,13.65,16.52,96.72,Needs Attention
50.5,6.92,1.42,44.39,38.55,68.25,23.12,27.28,79.51,Healthy
40.7,6.88,1.53,51.25,35.64,65.01,26.63,33.44,48.19,Healthy
26.36,5.16,0.9,17.27,15.41,26.61,28.07,34.22,46.69,Moderate
57.15,6.48,1.3,44.54,45.95,52.04,26.72,26.82,63.53,Healthy
85.7,6.36,1.8,33.53,27.63,16.16,29.68,31.96,46.59,Moderate
71.6,5.44,2.14,30.18,18.3,33.23,30.36,33.15,87.78,Moderate
48.83,7.3,1.37,53.72,39.82,64.92,24.9,27.63,77.73,Healthy
48.99,6.76,1.43,74.55,38.99,51.14,26.54,26.49,76.85,Healthy
58.12,6.73,1.72,56.31,36.62,45.37,26.21,24.59,75.46,Healthy
36.53,7.52,2.05,15.54,18.18,39.84,34.0,35.31,98.14,Moderate
14.25,5.04,0.41,25.25,8.72,0.0,34.54,16.68,96.19,Needs Attention
14.17,5.03,0.51,23.7,3.0,23.43,37.24,16.28,95.27,Needs Attention
47.55,7.29,1.48,40.02,47.61,70.46,23.88,24.31,79.78,Healthy
33.43,6.02,0.42,38.15,10.5,40.72,30.17,35.59,41.56,Moderate
91.43,8.69,0.44,27.23,14.73,16.88,19.53,37.44,33.77,Needs Attention
17.26,8.46,0.29,29.04,12.97,17.88,19.05,35.23,34.37,Needs Attention
60.82,6.78,1.34,64.42,45.32,56.15,27.34,27.76,77.85,Healthy
73.43,7.5,2.46,16.11,31.38,29.33,32.47,36.85,52.02,Moderate
58.76,7.46,2.19,33.34,13.85,31.85,30.26,34.32,32.38,Moderate
21.65,5.59,0.97,33.16,20.15,21.66,29.75,34.39,93.45,Moderate
55.46,6.93,1.48,54.76,41.69,55.79,25.6,34.82,63.71,Healthy
24.33,5.51,1.13,37.52,22.66,34.34,28.54,32.97,44.9,Moderate
78.47,4.96,2.81,18.78,11.63,20.43,16.86,33.44,98.56,Needs Attention
1.62,5.23,0.46,19.44,17.4,21.69,17.76,18.49,94.94,Needs Attention
44.14,6.34,1.28,62.18,32.72,67.54,23.98,29.1,77.58,Healthy
38.67,7.76,0.74,43.1,20.03,24.21,29.33,35.18,90.85,Moderate
44.62,6.86,1.81,67.64,40.66,54.34,23.15,25.47,58.17,Healthy
49.32,6.89,1.51,67.61,37.07,52.49,27.45,20.16,77.3,Healthy
34.14,6.3,0.83,70.08,39.23,61.66,24.23,30.07,70.86,Healthy
62.46,7.42,1.55,60.78,29.48,65.14,18.69,30.57,72.24,Healthy
77.05,7.97,2.28,13.85,12.13,28.99,29.99,34.26,96.16,Moderate
26.9,6.01,2.04,41.61,22.87,36.07,29.71,34.6,86.38,Moderate
48.66,6.34,1.91,57.83,39.35,47.95,27.45,25.43,58.1,Healthy
41.07,6.69,1.48,50.75,50.47,59.62,25.4,27.21,57.93,Healthy
24.18,7.82,2.21,28.5,18.03,26.47,31.69,32.61,75.61,Moderate
44.1,7.15,1.45,48.8,36.33,71.29,26.16,30.15,62.63,Healthy
11.65,8.32,0.32,12.27,5.23,21.02,36.12,33.57,21.96,Needs Attention
8.1,8.25,0.47,28.23,11.48,13.98,35.68,39.54,28.86,Needs Attention
51.07,7.21,1.36,62.43,50.82,50.42,24.56,25.88,77.33,Healthy
43.15,6.67,1.28,58.98,42.48,48.59,20.86,33.4,74.14,Healthy
50.46,6.53,1.16,57.1,50.44,62.24,23.64,25.9,68.04,Healthy
35.52,6.96,1.55,50.4,29.06,63.66,25.6,25.14,82.68,Healthy
66.48,8.23,0.59,30.38,26.67,21.9,32.91,33.18,100.0,Moderate
64.33,5.67,2.18,48.6,17.13,32.54,31.11,35.47,58.49,Moderate
50.68,6.42,1.41,55.09,42.28,62.45,26.74,28.32,55.85,Healthy
88.52,5.02,2.93,23.01,15.56,20.19,34.74,40.19,24.78,Needs Attention
9.22,8.04,0.6,13.23,15.08,10.21,33.83,34.79,96.47,Needs Attention
45.36,6.76,1.77,47.38,46.9,54.15,25.44,26.91,65.54,Healthy
75.1,7.9,1.78,26.04,25.14,35.41,33.92,35.27,32.17,Moderate
75.2,8.62,2.88,7.13,10.69,16.69,35.09,38.3,95.49,Needs Attention
61.3,7.21,1.28,66.18,36.18,58.83,26.52,30.73,67.57,Healthy
34.4,7.68,2.53,45.52,24.98,28.16,33.3,31.84,51.65,Moderate
73.48,5.53,2.1,49.36,23.8,29.73,27.46,39.3,29.1,Moderate
56.21,6.52,1.02,63.94,45.95,49.02,28.61,31.33,78.97,Healthy
60.85,6.12,0.96,13.7,17.55,41.6,36.06,37.41,78.85,Moderate
76.22,8.41,0.71,34.09,31.53,13.95,34.57,36.99,44.5,Moderate
32.07,6.71,1.15,70.86,36.87,63.75,21.46,28.17,72.07,Healthy
47.84,6.83,1.32,40.09,47.49,30.28,23.11,26.84,74.07,Healthy
59.69,6.86,1.66,49.31,37.92,61.48,28.22,24.69,67.65,Healthy
19.94,8.51,2.61,33.03,6.95,20.13,40.38,21.48,25.07,Needs Attention
71.01,6.01,1.23,36.98,27.92,25.11,35.8,33.99,97.51,Moderate
21.75,7.4,2.54,28.82,22.53,27.57,30.43,34.47,82.34,Moderate
74.71,5.66,1.96,24.45,19.22,36.25,29.84,33.44,80.92,Moderate
36.2,8.2,2.9,38.28,12.45,34.48,35.99,33.53,82.12,Moderate
82.34,8.84,2.71,21.64,14.56,22.1,39.01,18.73,28.62,Needs Attention
44.58,7.59,1.27,50.95,44.32,56.42,24.68,29.45,74.27,Healthy
55.01,7.72,2.62,40.36,24.5,16.1,32.39,32.63,89.08,Moderate
61.88,5.04,2.0,34.38,24.74,31.54,36.97,32.77,59.69,Moderate
62.98,6.6,1.48,43.99,40.83,63.4,25.05,33.94,76.68,Healthy
46.41,7.77,0.9,59.46,45.79,53.72,24.88,23.88,66.82,Healthy
75.22,7.91,2.28,36.16,12.81,28.58,32.92,33.8,83.52,Moderate
15.18,5.12,0.53,25.73,16.35,16.76,34.49,21.51,24.44,Needs Attention
78.62,8.32,2.72,18.02,7.25,17.65,18.09,36.35,25.39,Needs Attention
68.58,8.28,1.95,32.26,9.8,31.28,31.5,32.56,36.91,Moderate
56.46,6.55,1.72,57.82,37.78,65.63,21.24,31.3,66.25,Healthy
29.98,7.95,1.0,41.86,25.51,17.92,29.59,32.41,84.2,Moderate
29.34,6.33,2.27,31.49,17.92,22.95,35.3,29.96,51.18,Moderate
56.45,7.92,0.72,42.17,36.44,36.49,31.56,38.5,30.45,Moderate
52.42,6.25,1.55,76.32,31.9,30.97,25.39,25.12,70.34,Healthy
90.8,4.96,0.48,11.94,18.5,32.94,32.35,17.45,23.94,Needs Attention
32.3,6.01,1.98,27.47,22.18,29.99,35.01,34.71,83.87,Moderate
77.68,7.24,1.2,33.3,11.87,20.42,32.58,34.3,87.44,Moderate
47.57,6.87,1.64,47.89,36.86,45.32,24.36,25.4,72.96,Healthy
11.94,8.86,0.29,21.7,13.81,4.59,17.52,35.11,27.31,Needs Attention
32.76,7.63,0.67,36.16,13.72,29.67,30.35,34.06,88.53,Moderate
79.06,5.26,1.06,40.34,17.69,27.11,32.21,29.42,52.58,Moderate
13.83,5.12,2.72,14.72,18.78,8.8,35.58,38.74,93.84,Needs Attention
8.95,9.0,0.46,12.67,9.76,19.63,32.11,34.04,35.92,Needs Attention
93.44,5.06,2.77,9.07,13.17,8.74,35.39,16.77,94.19,Needs Attention
53.75,6.96,1.82,41.16,52.11,70.5,25.92,28.78,69.83,Healthy
41.95,6.04,1.17,52.94,41.33,53.35,22.78,28.71,65.97,Healthy
57.19,7.84,1.11,51.77,31.07,32.7,32.81,39.2,96.69,Moderate
72.71,5.74,0.66,33.62,26.34,34.18,30.08,31.98,96.34,Moderate
61.6,6.0,1.34,58.04,43.7,34.73,20.14,30.92,66.97,Healthy
49.39,6.07,1.53,65.42,38.25,64.79,22.76,24.82,69.49,Healthy
88.68,7.71,2.23,48.69,33.06,25.16,31.52,32.26,65.17,Moderate
73.73,7.84,0.46,30.32,20.48,27.21,31.2,35.37,96.36,Moderate
60.74,7.31,1.44,49.47,34.69,47.46,24.23,31.11,80.6,Healthy
43.84,6.65,2.14,60.91,29.87,47.22,22.61,28.14,74.77,Healthy
58.24,6.86,1.32,59.34,45.84,63.93,24.17,22.06,56.54,Healthy
66.96,5.91,2.1,40.21,32.55,23.3,30.47,34.88,54.5,Moderate
16.91,8.59,0.35,19.55,10.13,20.18,31.81,19.75,30.98,Needs Attention
43.82,6.78,1.63,60.89,43.48,61.46,23.68,19.18,56.3,Healthy
35.37,5.8,1.22,29.16,15.47,36.38,28.94,31.98,32.97,Moderate
86.95,5.18,2.58,26.93,7.47,15.8,37.78,37.75,98.87,Needs Attention
92.88,9.06,2.68,24.82,10.95,17.74,35.99,19.27,33.84,Needs Attention
88.5,8.47,0.44,28.95,7.84,19.67,37.45,18.78,34.07,Needs Attention
39.24,7.1,1.57,53.52,52.99,33.05,22.97,31.36,81.08,Healthy
58.18,6.87,1.53,61.03,23.52,42.15,23.37,24.75,69.56,Healthy
78.0,6.23,2.33,39.65,21.86,22.23,30.0,36.87,43.55,Moderate
30.77,6.25,0.87,44.49,19.61,32.9,26.52,29.05,89.33,Moderate
47.83,6.86,1.99,64.44,46.88,48.95,21.22,26.16,65.39,Healthy
59.64,6.0,2.35,32.24,22.28,15.04,34.06,37.35,42.04,Moderate
82.01,8.56,2.65,26.8,15.19,26.11,16.79,37.93,93.79,Needs Attention
91.38,5.19,2.59,11.81,9.38,21.72,15.84,32.89,94.59,Needs Attention
48.49,6.4,1.66,66.47,45.91,57.38,24.68,25.43,64.67,Healthy
11.34,4.84,0.58,22.81,11.17,23.93,16.9,38.04,96.16,Needs Attention
70.45,8.14,0.98,26.21,11.69,23.79,32.26,37.57,40.46,Moderate
18.59,6.27,1.1,16.04,18.5,16.01,33.95,30.13,48.6,Moderate
58.07,6.65,1.4,59.32,38.62,65.19,23.15,22.49,69.67,Healthy
89.37,4.63,0.32,21.03,5.72,22.04,34.02,36.36,97.01,Needs Attention
30.38,7.85,2.4,34.32,17.62,31.41,28.81,35.19,83.64,Moderate
15.89,8.52,2.82,15.39,10.33,11.98,19.36,38.16,95.48,Needs Attention
86.62,8.41,2.85,16.77,15.97,7.91,17.74,19.89,21.8,Needs Attention
41.12,6.84,1.35,59.07,47.19,59.57,26.27,28.74,60.55,Healthy
90.81,4.66,0.57,26.16,15.69,13.84,17.96,19.78,28.51,Needs Attention
51.13,7.21,1.41,49.14,44.37,48.68,25.89,20.85,72.33,Healthy
69.96,8.11,0.31,23.05,19.51,42.94,31.73,30.33,79.62,Moderate
12.13,8.96,0.44,17.29,16.15,12.73,35.94,16.95,96.92,Needs Attention
91.12,8.46,2.73,22.92,15.23,26.86,36.85,36.04,96.54,Needs Attention
24.03,5.85,0.73,14.45,17.27,25.94,32.74,32.03,97.13,Moderate
34.7,6.72,1.63,59.88,36.48,55.46,27.09,26.68,51.85,Healthy
83.76,7.78,2.77,0.0,10.12,19.64,35.26,17.73,25.82,Needs Attention
36.11,6.07,2.04,31.42,29.4,12.75,31.09,35.84,47.96,Moderate
47.4,6.27,1.61,55.72,50.39,49.55,23.48,24.29,72.35,Healthy
12.62,4.79,2.59,10.15,7.31,15.71,18.26,36.99,99.56,Needs Attention
91.02,4.73,2.65,24.94,10.05,31.5,32.98,35.4,93.32,Needs Attention
86.51,4.39,2.66,30.32,8.39,18.55,14.86,40.28,29.05,Needs Attention
33.04,6.26,1.54,56.67,35.87,62.79,22.29,25.63,66.18,Healthy
44.04,7.16,1.67,53.16,45.47,49.55,23.66,26.85,77.79,Healthy
47.16,6.85,1.25,61.42,27.83,60.88,25.41,27.17,82.12,Healthy
48.39,7.68,2.31,37.77,27.38,39.93,29.7,31.81,50.75,Moderate
14.33,5.35,2.85,27.59,8.59,15.84,19.08,19.99,37.15,Needs Attention
24.09,7.55,0.94,40.55,16.17,37.72,29.53,36.1,55.97,Moderate
68.87,5.52,1.27,14.21,20.92,30.4,31.71,30.12,51.71,Moderate
60.65,7.55,1.94,23.43,29.75,43.82,35.17,30.32,100.0,Moderate
15.64,8.16,0.54,16.8,8.82,26.16,37.5,38.72,25.92,Needs Attention
46.9,6.56,1.6,36.67,33.89,46.12,25.51,26.97,57.1,Healthy
46.96,6.72,1.17,55.88,37.67,44.12,20.15,23.17,43.65,Healthy
15.68,8.26,2.63,23.94,8.66,22.72,14.99,35.33,35.21,Needs Attention
29.69,8.21,0.81,29.65,13.55,32.3,32.59,36.08,45.73,Moderate
66.32,5.5,2.24,14.78,20.46,31.23,33.37,38.07,81.63,Moderate
90.5,8.12,2.79,26.1,7.94,21.31,14.85,37.87,28.42,Needs Attention
49.88,6.81,1.69,57.75,48.95,46.08,21.5,26.09,76.16,Healthy
21.19,5.67,1.04,31.42,24.12,24.21,31.94,37.29,41.13,Moderate
72.13,7.65,1.82,35.34,16.45,30.45,35.45,38.34,96.72,Moderate
58.16,5.93,2.25,42.77,22.39,43.45,39.29,33.68,38.07,Moderate
8.04,5.38,2.6,22.89,15.04,24.2,19.17,16.42,98.44,Needs Attention
27.42,7.24,2.41,39.91,22.23,38.54,29.16,38.55,40.37,Moderate
61.4,7.77,2.59,29.89,17.8,28.41,32.1,35.54,100.0,Moderate
51.73,6.42,1.38,44.23,43.44,35.21,30.76,31.51,94.34,Healthy
86.4,9.12,0.48,23.24,11.66,17.51,35.89,38.25,30.73,Needs Attention
87.84,8.59,2.98,12.39,11.07,9.25,14.73,21.72,97.62,Needs Attention
45.63,7.27,1.48,52.41,30.84,33.28,21.37,27.34,80.82,Healthy
41.53,6.58,1.35,61.13,45.81,53.47,23.12,31.95,68.05,Healthy
50.41,6.88,1.02,62.97,33.44,64.8,23.62,23.63,72.68,Healthy
53.15,6.67,1.8,67.25,41.47,32.46,22.77,25.36,65.28,Healthy
76.44,7.74,1.88,26.02,21.8,21.2,31.9,33.61,55.68,Moderate
61.9,6.51,1.55,56.88,44.5,45.95,27.13,31.13,80.92,Healthy
10.57,5.38,0.32,28.03,11.98,27.37,18.34,21.12,30.46,Needs Attention
76.17,5.66,2.21,38.25,39.74,32.52,33.66,29.78,53.6,Moderate
19.44,4.81,0.49,19.73,11.42,14.25,35.81,18.55,29.35,Needs Attention
56.55,8.55,2.19,33.49,24.01,23.3,28.44,30.55,81.12,Moderate
48.29,6.33,1.31,42.03,43.32,52.8,24.19,29.66,64.23,Healthy
49.57,6.54,2.05,62.06,30.18,50.81,27.0,26.79,79.15,Healthy
89.46,8.22,0.48,30.31,11.81,3.28,33.0,34.15,28.52,Needs Attention
29.7,6.17,2.5,35.45,16.85,29.76,36.26,35.8,98.98,Moderate
11.88,8.37,2.93,23.3,11.52,11.8,16.52,35.4,93.97,Needs Attention
12.58,8.17,2.69,16.86,12.99,22.44,16.96,37.95,95.61,Needs Attention
49.36,7.35,1.58,52.85,42.63,61.71,24.29,34.88,67.34,Healthy
80.28,5.36,0.66,33.44,26.4,16.19,27.04,31.92,89.66,Moderate
65.32,8.41,1.03,34.23,20.21,20.04,27.48,33.41,39.56,Moderate
11.56,8.82,2.73,28.8,13.22,25.5,37.18,38.77,96.14,Needs Attention
11.7,8.9,2.68,28.19,14.38,21.45,36.83,18.44,94.05,Needs Attention
47.33,7.36,1.48,64.37,30.35,51.44,27.22,22.89,71.65,Healthy
54.04,6.65,1.53,65.43,35.47,40.84,25.46,25.4,73.31,Healthy
95.45,4.57,0.53,26.81,9.19,21.24,34.73,18.24,28.54,Needs Attention
47.37,6.51,1.2,55.64,42.75,64.57,21.52,26.91,82.6,Healthy
51.7,6.52,1.7,66.46,32.17,44.1,20.62,27.58,78.4,Healthy
47.52,6.22,1.28,57.35,44.28,46.17,23.76,27.13,65.0,Healthy
59.51,6.79,1.09,45.89,26.84,64.0,28.06,30.26,70.71,Healthy
89.74,8.87,0.39,17.75,16.49,9.57,17.73,19.73,25.84,Needs Attention
47.59,6.68,1.54,63.32,34.76,55.38,22.17,25.2,57.56,Healthy
52.13,7.47,1.56,81.66,34.9,69.97,24.54,26.02,77.76,Healthy
44.58,6.65,1.27,43.27,45.41,55.46,21.15,26.28,70.34,Healthy
54.13,6.39,1.5,46.81,47.32,53.14,24.37,28.52,67.58,Healthy
35.71,6.56,1.11,55.36,48.61,47.53,24.38,31.37,76.12,Healthy
49.39,6.32,1.93,53.63,36.94,52.37,24.64,28.72,76.14,Healthy
88.1,8.48,2.82,9.61,11.42,0.58,34.79,22.55,93.96,Needs Attention
51.51,6.58,1.17,70.32,47.44,55.42,24.69,28.51,57.8,Healthy
40.71,6.09,2.12,26.97,19.55,42.72,29.75,35.67,92.13,Moderate
83.83,6.22,2.45,40.38,8.16,23.27,28.95,29.54,100.0,Moderate
9.68,5.16,2.55,17.21,17.68,23.66,34.13,16.35,96.54,Needs Attention
81.81,8.31,2.66,8.55,17.14,15.74,15.86,19.48,35.49,Needs Attention
60.83,6.98,1.55,62.36,42.99,41.35,23.09,29.99,77.91,Healthy
59.54,6.59,1.82,61.88,48.79,38.43,23.66,28.88,70.52,Healthy
34.99,5.62,2.19,38.49,15.2,12.01,35.39,33.96,40.21,Moderate
13.72,8.54,0.41,19.7,7.3,16.59,16.17,35.72,95.05,Needs Attention
28.59,8.29,1.96,29.1,24.57,16.83,34.99,34.05,89.53,Moderate
17.15,8.57,0.63,17.91,19.68,31.55,36.8,34.44,95.66,Needs Attention
50.45,6.64,1.72,52.33,42.61,60.21,20.79,24.75,72.48,Healthy
42.31,6.83,1.59,56.95,38.22,40.81,24.41,22.17,70.8,Healthy
20.93,5.55,2.08,40.78,26.77,29.58,32.16,33.24,37.88,Moderate
16.67,8.82,2.75,21.84,7.97,23.24,33.69,16.79,95.82,Needs Attention
32.59,5.6,2.09,44.24,24.94,33.46,28.0,34.8,91.76,Moderate
58.15,6.47,1.68,47.45,43.22,54.84,24.11,23.9,68.68,Healthy
40.82,6.22,1.61,41.42,36.86,65.74,22.22,32.39,51.68,Healthy
52.52,6.91,2.13,67.29,49.41,34.31,19.6,26.11,88.08,Healthy
12.81,8.56,0.57,16.49,12.23,20.13,32.23,17.56,23.15,Needs Attention
42.04,7.49,0.53,43.3,15.64,25.96,31.8,30.37,33.29,Moderate
45.36,6.17,1.64,66.0,37.34,51.72,24.79,27.73,59.87,Healthy
14.08,8.57,2.62,25.28,9.33,8.14,11.98,18.69,96.93,Needs Attention
50.37,6.71,1.39,51.83,32.5,49.02,25.63,24.33,71.32,Healthy
44.2,6.85,0.92,62.73,37.43,34.46,25.41,28.5,64.74,Healthy
37.83,5.48,1.13,33.44,19.75,22.61,29.91,30.96,39.51,Moderate
93.37,8.16,0.47,26.42,15.15,31.27,35.46,40.1,95.1,Needs Attention
36.64,7.07,1.66,64.6,32.16,51.1,22.09,28.29,60.26,Healthy
31.41,7.96,0.53,31.0,19.82,46.44,32.55,36.59,74.88,Moderate
63.91,5.69,2.24,34.72,24.62,31.56,30.33,40.12,54.1,Moderate
96.77,9.07,0.5,12.78,15.69,17.44,36.22,20.21,36.83,Needs Attention
8.24,8.57,0.42,20.5,7.81,21.61,18.31,36.1,96.25,Needs Attention
30.99,5.6,1.05,27.44,30.74,30.52,36.77,37.27,39.32,Moderate
55.92,7.1,1.46,55.76,14.12,67.62,22.86,27.31,92.33,Healthy
16.0,8.55,2.76,13.44,8.8,14.23,34.97,20.92,31.38,Needs Attention
88.61,5.67,0.77,17.84,20.32,28.95,28.02,33.82,42.57,Moderate
